"Unique_Unique_Object","Experiment","Aktnac","ERKnac","Condition","Concen"
165,"20200122 P1",0.0747000000000002,0.00729999999999975,"ymptx",0
165,"20200603 P1",0.563300000000001,5.4306,"DMSO",1300
167,"20200122 P1",-0.0200999999999998,-0.0899999999999999,"DMSO",0
167,"20200122 P1",-0.0200999999999998,-0.0899999999999999,"PTx",0
167,"20200122 P1",-0.0200999999999998,-0.0899999999999999,"YM",0
167,"20200122 P1",-0.0200999999999998,-0.0899999999999999,"ymptx",0
168,"20200122 P1",0.0236999999999997,-0.4027,"DMSO",0
168,"20200122 P1",0.0236999999999997,-0.4027,"PTx",0
168,"20200122 P1",0.0236999999999997,-0.4027,"YM",0
168,"20200122 P1",0.0236999999999997,-0.4027,"ymptx",0
168,"20200603 P1",0.4292,4.3305,"DMSO",1300
169,"20200603 P1",-0.1116,5.4605,"DMSO",1300
171,"20200122 P1",-0.0578999999999997,0.0432999999999997,"DMSO",0
171,"20200122 P1",-0.0578999999999997,0.0432999999999997,"PTx",0
171,"20200122 P1",-0.0578999999999997,0.0432999999999997,"YM",0
171,"20200122 P1",-0.0578999999999997,0.0432999999999997,"ymptx",0
176,"20200603 P1",0.8976,3.2588,"DMSO",1300
177,"20200603 P1",-0.3439,2.0464,"DMSO",1300
179,"20200122 P1",0.0552999999999998,0.433300000000001,"DMSO",0
179,"20200122 P1",0.0552999999999998,0.433300000000001,"PTx",0
179,"20200122 P1",0.0552999999999998,0.433300000000001,"YM",0
179,"20200122 P1",0.0552999999999998,0.433300000000001,"ymptx",0
179,"20200603 P1",0.2193,3.4767,"DMSO",1300
180,"20200122 P1",-0.00110000000000002,-0.1142,"DMSO",0
180,"20200122 P1",-0.00110000000000002,-0.1142,"PTx",0
180,"20200122 P1",-0.00110000000000002,-0.1142,"YM",0
180,"20200122 P1",-0.00110000000000002,-0.1142,"ymptx",0
180,"20200603 P1",-0.8379,4.3654,"DMSO",1300
181,"20200122 P1",-0.1128,0.333,"DMSO",0
181,"20200122 P1",-0.1128,0.333,"PTx",0
181,"20200122 P1",-0.1128,0.333,"YM",0
181,"20200122 P1",-0.1128,0.333,"ymptx",0
184,"20200603 P1",0.3178,5.137,"DMSO",1300
185,"20200603 P1",-0.3867,3.1472,"DMSO",1300
187,"20200603 P1",0.3146,3.5005,"DMSO",1300
188,"20200122 P1",0.363,-0.356499999999999,"DMSO",0
188,"20200122 P1",0.363,-0.356499999999999,"PTx",0
188,"20200122 P1",0.363,-0.356499999999999,"YM",0
188,"20200122 P1",0.363,-0.356499999999999,"ymptx",0
190,"20200603 P1",-0.4365,4.6998,"DMSO",1300
191,"20200603 P1",1.2533,7.8063,"DMSO",1300
192,"20200122 P1",-0.16,0.0550999999999995,"DMSO",0
192,"20200122 P1",-0.16,0.0550999999999995,"PTx",0
192,"20200122 P1",-0.16,0.0550999999999995,"YM",0
192,"20200122 P1",-0.16,0.0550999999999995,"ymptx",0
192,"20200603 P1",1.6765,6.3944,"DMSO",1300
193,"20200122 P1",0.3492,0.0898999999999999,"DMSO",0
193,"20200122 P1",0.3492,0.0898999999999999,"PTx",0
193,"20200122 P1",0.3492,0.0898999999999999,"YM",0
193,"20200122 P1",0.3492,0.0898999999999999,"ymptx",0
193,"20200603 P1",-0.1844,2.5964,"DMSO",1300
194,"20200122 P1",-0.0692999999999999,0.4347,"DMSO",0
194,"20200122 P1",-0.0692999999999999,0.4347,"PTx",0
194,"20200122 P1",-0.0692999999999999,0.4347,"YM",0
194,"20200122 P1",-0.0692999999999999,0.4347,"ymptx",0
194,"20200603 P1",1.572,5.0271,"DMSO",1300
195,"20200603 P1",0.6284,7.4185,"DMSO",1300
196,"20200603 P1",0.0643000000000003,3.5447,"DMSO",1300
197,"20200122 P1",-0.2646,-0.0253000000000005,"DMSO",0
197,"20200122 P1",-0.2646,-0.0253000000000005,"PTx",0
197,"20200122 P1",-0.2646,-0.0253000000000005,"YM",0
197,"20200122 P1",-0.2646,-0.0253000000000005,"ymptx",0
197,"20200603 P1",0.6017,5.3856,"DMSO",1300
198,"20200122 P1",-0.132,0.4039,"DMSO",0
198,"20200122 P1",-0.132,0.4039,"PTx",0
198,"20200122 P1",-0.132,0.4039,"YM",0
198,"20200122 P1",-0.132,0.4039,"ymptx",0
198,"20200603 P1",-0.3383,2.6743,"DMSO",1300
199,"20200603 P1",-0.690100000000001,4.8586,"DMSO",1300
200,"20200603 P1",0.0273000000000009,3.6455,"DMSO",1300
201,"20200603 P1",1.1479,5.4985,"DMSO",1300
203,"20200122 P1",0.0275999999999995,-0.437500000000001,"DMSO",0
203,"20200122 P1",0.0275999999999995,-0.437500000000001,"PTx",0
203,"20200122 P1",0.0275999999999995,-0.437500000000001,"YM",0
203,"20200122 P1",0.0275999999999995,-0.437500000000001,"ymptx",0
203,"20200603 P1",0.0515000000000002,2.5493,"DMSO",1300
204,"20200603 P1",1.5013,5.0333,"DMSO",1300
205,"20200603 P1",0.6343,4.924,"DMSO",1300
206,"20200122 P1",0.00930000000000003,-0.2475,"DMSO",0
206,"20200122 P1",0.00930000000000003,-0.2475,"PTx",0
206,"20200122 P1",0.00930000000000003,-0.2475,"YM",0
206,"20200122 P1",0.00930000000000003,-0.2475,"ymptx",0
206,"20200603 P1",-0.677800000000001,1.9666,"DMSO",1300
208,"20200603 P1",0.6738,3.9541,"DMSO",1300
211,"20200603 P1",-0.1348,3.3028,"DMSO",1300
212,"20200122 P1",0.4798,0.7758,"DMSO",0
212,"20200122 P1",0.4798,0.7758,"PTx",0
212,"20200122 P1",0.4798,0.7758,"YM",0
212,"20200122 P1",0.4798,0.7758,"ymptx",0
212,"20200603 P1",0.865599999999999,5.1738,"DMSO",1300
