"clu_A","clu_E","Cluster","cond_inh","Unique_Unique_Object"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_812872"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_812873"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_812874"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_812881"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_812885"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_812886"
3,7,"3_7","81.3 S1P ymptx","81.3 S1P ymptx_812886"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_812887"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_812888"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_812892"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_812895"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_812897"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_812898"
1,6,"1_6","81.3 S1P ymptx","81.3 S1P ymptx_812899"
1,3,"1_3","81.3 S1P ymptx","81.3 S1P ymptx_812900"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_812904"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_812907"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_812910"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_812911"
1,4,"1_4","81.3 S1P ymptx","81.3 S1P ymptx_812912"
3,7,"3_7","81.3 S1P ymptx","81.3 S1P ymptx_812915"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_812917"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_812918"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_812920"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_812921"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_812922"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_812924"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_812926"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_812927"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_812930"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_812931"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_812933"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_812935"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_812936"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_812937"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_812941"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_812943"
2,7,"2_7","81.3 S1P ymptx","81.3 S1P ymptx_812943"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_812945"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_812949"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_812953"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_812955"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_812956"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_812957"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_812959"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_812965"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_812965"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_812970"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_812971"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_812973"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_812974"
2,7,"2_7","8.16 His ymptx","8.16 His ymptx_812976"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_812978"
1,6,"1_6","81.3 S1P ymptx","81.3 S1P ymptx_812978"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_812979"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_812980"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_812981"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_812982"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_812984"
2,7,"2_7","8.16 His ymptx","8.16 His ymptx_812987"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_812988"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_812989"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_812990"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_812991"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_812992"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_812993"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_812994"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_812998"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_812999"
1,6,"1_6","81.3 S1P ymptx","81.3 S1P ymptx_812999"
2,6,"2_6","11.1 UK DMSO","11.1 UK DMSO_8130"
3,8,"3_8","40.6 S1P DMSO","40.6 S1P DMSO_8130"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813000"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813004"
1,6,"1_6","81.3 S1P ymptx","81.3 S1P ymptx_813004"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_813005"
1,3,"1_3","81.3 S1P ymptx","81.3 S1P ymptx_813007"
1,6,"1_6","81.3 S1P ymptx","81.3 S1P ymptx_813009"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813010"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813011"
3,6,"3_6","81.3 S1P ymptx","81.3 S1P ymptx_813013"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813016"
3,8,"3_8","81.3 S1P ymptx","81.3 S1P ymptx_813016"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813018"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813021"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_813023"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813025"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_813029"
2,3,"2_3","81.3 S1P ymptx","81.3 S1P ymptx_813031"
3,7,"3_7","81.3 S1P ymptx","81.3 S1P ymptx_813033"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813035"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813037"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_813038"
1,2,"1_2","81.3 S1P ymptx","81.3 S1P ymptx_813038"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813039"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813039"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_813040"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813041"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_813043"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813044"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813046"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813048"
2,7,"2_7","8.16 His ymptx","8.16 His ymptx_813049"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813051"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813052"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813054"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813056"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813056"
1,6,"1_6","81.3 S1P ymptx","81.3 S1P ymptx_813058"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813061"
1,6,"1_6","81.3 S1P ymptx","81.3 S1P ymptx_813062"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813067"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_813069"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813073"
3,6,"3_6","81.3 S1P ymptx","81.3 S1P ymptx_813075"
3,8,"3_8","81.3 S1P ymptx","81.3 S1P ymptx_813076"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813077"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813077"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813079"
1,6,"1_6","81.3 S1P ymptx","81.3 S1P ymptx_813079"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813080"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813087"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813089"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813091"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813092"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813093"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_813094"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_813095"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_813096"
2,7,"2_7","8.16 His ymptx","8.16 His ymptx_813097"
2,6,"2_6","40.6 S1P DMSO","40.6 S1P DMSO_8131"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_813100"
1,8,"1_8","81.3 S1P ymptx","81.3 S1P ymptx_813101"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813102"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813103"
3,7,"3_7","81.3 S1P ymptx","81.3 S1P ymptx_813107"
2,7,"2_7","8.16 His ymptx","8.16 His ymptx_813108"
2,7,"2_7","8.16 His ymptx","8.16 His ymptx_813109"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813110"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813111"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_813113"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813115"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813116"
1,6,"1_6","81.3 S1P ymptx","81.3 S1P ymptx_813117"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813119"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813119"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813120"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813122"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813122"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813123"
2,7,"2_7","8.16 His ymptx","8.16 His ymptx_813125"
1,3,"1_3","81.3 S1P ymptx","81.3 S1P ymptx_813125"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813126"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_813127"
1,8,"1_8","8.16 His ymptx","8.16 His ymptx_813129"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813131"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813133"
1,6,"1_6","81.3 S1P ymptx","81.3 S1P ymptx_813135"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813136"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813137"
2,7,"2_7","8.16 His ymptx","8.16 His ymptx_813139"
3,8,"3_8","81.3 S1P ymptx","81.3 S1P ymptx_813142"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813143"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813143"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813144"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813144"
2,7,"2_7","8.16 His ymptx","8.16 His ymptx_813148"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813150"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813151"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813152"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813153"
3,8,"3_8","81.3 S1P ymptx","81.3 S1P ymptx_813153"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813154"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813156"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813157"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_813158"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813158"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813160"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813161"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813161"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813165"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813173"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813178"
3,6,"3_6","81.3 S1P ymptx","81.3 S1P ymptx_813179"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813180"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813182"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_813184"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813184"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813185"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813187"
3,7,"3_7","81.3 S1P ymptx","81.3 S1P ymptx_813187"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813191"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813191"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813192"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813196"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_813197"
1,8,"1_8","8.16 His ymptx","8.16 His ymptx_813198"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813199"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813199"
1,3,"1_3","11.1 UK DMSO","11.1 UK DMSO_8132"
3,8,"3_8","40.6 S1P DMSO","40.6 S1P DMSO_8132"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813200"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813203"
3,6,"3_6","81.3 S1P ymptx","81.3 S1P ymptx_813203"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813207"
2,3,"2_3","81.3 S1P ymptx","81.3 S1P ymptx_813207"
1,6,"1_6","81.3 S1P ymptx","81.3 S1P ymptx_813208"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813209"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813210"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813212"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813212"
1,6,"1_6","81.3 S1P ymptx","81.3 S1P ymptx_813213"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813214"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813217"
3,8,"3_8","81.3 S1P ymptx","81.3 S1P ymptx_813218"
1,6,"1_6","81.3 S1P ymptx","81.3 S1P ymptx_813221"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813225"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813226"
3,7,"3_7","81.3 S1P ymptx","81.3 S1P ymptx_813227"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813228"
1,6,"1_6","81.3 S1P ymptx","81.3 S1P ymptx_813228"
3,8,"3_8","81.3 S1P ymptx","81.3 S1P ymptx_813229"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813230"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_813231"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813232"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813233"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813234"
1,6,"1_6","81.3 S1P ymptx","81.3 S1P ymptx_813234"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813237"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813238"
3,6,"3_6","81.3 S1P ymptx","81.3 S1P ymptx_813238"
2,7,"2_7","8.16 His ymptx","8.16 His ymptx_813241"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813242"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813243"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813246"
1,6,"1_6","81.3 S1P ymptx","81.3 S1P ymptx_813246"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813249"
1,3,"1_3","81.3 S1P ymptx","81.3 S1P ymptx_813252"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813253"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813255"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813260"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813261"
1,1,"1_1","81.3 S1P ymptx","81.3 S1P ymptx_813266"
1,6,"1_6","81.3 S1P ymptx","81.3 S1P ymptx_813269"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813272"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813273"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813273"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813274"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813278"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_813280"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813282"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813284"
1,6,"1_6","8.16 His ymptx","8.16 His ymptx_813285"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_813286"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_813290"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813292"
3,8,"3_8","81.3 S1P ymptx","81.3 S1P ymptx_813294"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813295"
3,8,"3_8","81.3 S1P ymptx","81.3 S1P ymptx_813296"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813299"
3,7,"3_7","40.6 S1P DMSO","40.6 S1P DMSO_8133"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813300"
3,8,"3_8","81.3 S1P ymptx","81.3 S1P ymptx_813300"
1,8,"1_8","8.16 His ymptx","8.16 His ymptx_813301"
3,6,"3_6","81.3 S1P ymptx","81.3 S1P ymptx_813301"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813303"
3,8,"3_8","81.3 S1P ymptx","81.3 S1P ymptx_813305"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813309"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813310"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_813311"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813312"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813313"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_813314"
2,7,"2_7","8.16 His ymptx","8.16 His ymptx_813315"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813318"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813321"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813323"
2,7,"2_7","8.16 His ymptx","8.16 His ymptx_813325"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813326"
3,7,"3_7","81.3 S1P ymptx","81.3 S1P ymptx_813327"
3,6,"3_6","81.3 S1P ymptx","81.3 S1P ymptx_813328"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813329"
1,6,"1_6","81.3 S1P ymptx","81.3 S1P ymptx_813329"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813332"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813332"
2,7,"2_7","8.16 His ymptx","8.16 His ymptx_813334"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813334"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813336"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813337"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813342"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_813343"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813345"
1,6,"1_6","81.3 S1P ymptx","81.3 S1P ymptx_813345"
1,3,"1_3","81.3 S1P ymptx","81.3 S1P ymptx_813346"
1,6,"1_6","81.3 S1P ymptx","81.3 S1P ymptx_813348"
2,7,"2_7","8.16 His ymptx","8.16 His ymptx_813349"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_813350"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813354"
2,6,"2_6","8.16 His ymptx","8.16 His ymptx_813355"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813360"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813361"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813364"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813365"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813367"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813367"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813368"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813368"
1,3,"1_3","81.3 S1P ymptx","81.3 S1P ymptx_813371"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813372"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813373"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813376"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813377"
3,6,"3_6","81.3 S1P ymptx","81.3 S1P ymptx_813377"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813378"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813379"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813381"
3,8,"3_8","81.3 S1P ymptx","81.3 S1P ymptx_813382"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813383"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813384"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813386"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813387"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813389"
3,8,"3_8","81.3 S1P ymptx","81.3 S1P ymptx_813390"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813391"
1,8,"1_8","81.3 S1P ymptx","81.3 S1P ymptx_813392"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813393"
1,8,"1_8","8.16 His ymptx","8.16 His ymptx_813394"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813395"
2,8,"2_8","11.1 UK DMSO","11.1 UK DMSO_8134"
3,8,"3_8","81.3 S1P ymptx","81.3 S1P ymptx_813400"
2,3,"2_3","81.3 S1P ymptx","81.3 S1P ymptx_813401"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813403"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813404"
1,4,"1_4","81.3 S1P ymptx","81.3 S1P ymptx_813406"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813413"
1,8,"1_8","81.3 S1P ymptx","81.3 S1P ymptx_813413"
1,6,"1_6","81.3 S1P ymptx","81.3 S1P ymptx_813418"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813420"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813421"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813422"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813423"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813424"
2,7,"2_7","8.16 His ymptx","8.16 His ymptx_813425"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813429"
1,6,"1_6","81.3 S1P ymptx","81.3 S1P ymptx_813430"
1,6,"1_6","8.16 His ymptx","8.16 His ymptx_813432"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813433"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813435"
1,8,"1_8","81.3 S1P ymptx","81.3 S1P ymptx_813437"
1,3,"1_3","81.3 S1P ymptx","81.3 S1P ymptx_813438"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813439"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813444"
1,3,"1_3","81.3 S1P ymptx","81.3 S1P ymptx_813446"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813448"
1,4,"1_4","81.3 S1P ymptx","81.3 S1P ymptx_813449"
1,3,"1_3","81.3 S1P ymptx","81.3 S1P ymptx_813450"
3,7,"3_7","81.3 S1P ymptx","81.3 S1P ymptx_813451"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813452"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813452"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813453"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813455"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813458"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813460"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813462"
2,7,"2_7","8.16 His ymptx","8.16 His ymptx_813463"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813466"
1,6,"1_6","8.16 His ymptx","8.16 His ymptx_813467"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813472"
1,6,"1_6","81.3 S1P ymptx","81.3 S1P ymptx_813472"
3,8,"3_8","81.3 S1P ymptx","81.3 S1P ymptx_813473"
1,3,"1_3","81.3 S1P ymptx","81.3 S1P ymptx_813474"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813475"
3,8,"3_8","81.3 S1P ymptx","81.3 S1P ymptx_813475"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813477"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813479"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813483"
2,8,"2_8","81.3 S1P ymptx","81.3 S1P ymptx_813486"
1,3,"1_3","81.3 S1P ymptx","81.3 S1P ymptx_813489"
3,7,"3_7","81.3 S1P ymptx","81.3 S1P ymptx_813498"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813499"
3,8,"3_8","40.6 S1P DMSO","40.6 S1P DMSO_8135"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813500"
1,8,"1_8","81.3 S1P ymptx","81.3 S1P ymptx_813501"
2,7,"2_7","8.16 His ymptx","8.16 His ymptx_813509"
3,7,"3_7","81.3 S1P ymptx","81.3 S1P ymptx_813509"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813510"
2,7,"2_7","8.16 His ymptx","8.16 His ymptx_813513"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_813514"
3,8,"3_8","81.3 S1P ymptx","81.3 S1P ymptx_813514"
3,6,"3_6","81.3 S1P ymptx","81.3 S1P ymptx_813515"
2,7,"2_7","8.16 His ymptx","8.16 His ymptx_813517"
3,8,"3_8","8.16 His ymptx","8.16 His ymptx_813519"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813519"
3,8,"3_8","81.3 S1P ymptx","81.3 S1P ymptx_813520"
3,8,"3_8","81.3 S1P ymptx","81.3 S1P ymptx_813522"
1,6,"1_6","8.16 His ymptx","8.16 His ymptx_813523"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813524"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813524"
3,8,"3_8","81.3 S1P ymptx","81.3 S1P ymptx_813527"
2,6,"2_6","81.3 S1P ymptx","81.3 S1P ymptx_813528"
3,7,"3_7","8.16 His ymptx","8.16 His ymptx_813531"
2,8,"2_8","8.16 His ymptx","8.16 His ymptx_813532"
