"Unique_Unique_Object","Experiment","Aktnac","ERKnac","Condition","Concen"
96,"20200122 P1",0.1164,-0.241699999999999,"YM",0
96,"20200122 P1",0.1164,-0.241699999999999,"ymptx",0
96,"20200526 P1",-0.4076,-0.3797,"DMSO",0.19
101,"20200526 P1",0.2635,0.4897,"DMSO",0.19
102,"20200122 P1",0.1804,0.3408,"DMSO",0
102,"20200122 P1",0.1804,0.3408,"PTx",0
102,"20200122 P1",0.1804,0.3408,"YM",0
102,"20200122 P1",0.1804,0.3408,"ymptx",0
103,"20200526 P1",1.003,0.7841,"DMSO",0.19
104,"20200526 P1",0.2877,-0.1936,"DMSO",0.19
105,"20200122 P1",0.0124999999999999,0.1598,"DMSO",0
105,"20200122 P1",0.0124999999999999,0.1598,"PTx",0
105,"20200122 P1",0.0124999999999999,0.1598,"YM",0
105,"20200122 P1",0.0124999999999999,0.1598,"ymptx",0
105,"20200526 P1",0.0798000000000002,0.6514,"DMSO",0.19
106,"20200526 P1",0.1787,0.1808,"DMSO",0.19
114,"20200526 P1",0.6218,0.3678,"DMSO",0.19
115,"20200122 P1",0.3455,-0.1148,"DMSO",0
115,"20200122 P1",0.3455,-0.1148,"PTx",0
115,"20200122 P1",0.3455,-0.1148,"YM",0
115,"20200122 P1",0.3455,-0.1148,"ymptx",0
118,"20200122 P1",0.1046,0.4488,"DMSO",0
118,"20200122 P1",0.1046,0.4488,"PTx",0
118,"20200122 P1",0.1046,0.4488,"YM",0
118,"20200122 P1",0.1046,0.4488,"ymptx",0
118,"20200526 P1",-0.2356,0.00609999999999944,"DMSO",0.19
122,"20200122 P1",0.0396000000000001,0.4872,"DMSO",0
122,"20200122 P1",0.0396000000000001,0.4872,"PTx",0
122,"20200122 P1",0.0396000000000001,0.4872,"YM",0
122,"20200122 P1",0.0396000000000001,0.4872,"ymptx",0
124,"20200122 P1",0.1542,-0.5747,"DMSO",0
124,"20200122 P1",0.1542,-0.5747,"PTx",0
124,"20200122 P1",0.1542,-0.5747,"YM",0
124,"20200122 P1",0.1542,-0.5747,"ymptx",0
127,"20200526 P1",0.3769,-0.5942,"DMSO",0.19
129,"20200122 P1",-0.2866,-0.2125,"DMSO",0
129,"20200122 P1",-0.2866,-0.2125,"PTx",0
129,"20200122 P1",-0.2866,-0.2125,"YM",0
129,"20200122 P1",-0.2866,-0.2125,"ymptx",0
133,"20200122 P1",-0.2153,0.0519000000000002,"DMSO",0
133,"20200122 P1",-0.2153,0.0519000000000002,"PTx",0
133,"20200122 P1",-0.2153,0.0519000000000002,"YM",0
133,"20200122 P1",-0.2153,0.0519000000000002,"ymptx",0
138,"20200526 P1",0.2313,0.3849,"DMSO",0.19
139,"20200526 P1",0.2327,-0.5606,"DMSO",0.19
140,"20200526 P1",-0.5185,-0.1288,"DMSO",0.19
142,"20200526 P1",0.00180000000000013,0.2762,"DMSO",0.19
143,"20200122 P1",0.193,0.0953999999999998,"DMSO",0
143,"20200122 P1",0.193,0.0953999999999998,"PTx",0
143,"20200122 P1",0.193,0.0953999999999998,"YM",0
143,"20200122 P1",0.193,0.0953999999999998,"ymptx",0
143,"20200526 P1",-0.3454,0.1709,"DMSO",0.19
147,"20200526 P1",0.7493,0.7875,"DMSO",0.19
148,"20200526 P1",-0.1894,0.5237,"DMSO",0.19
150,"20200122 P1",0.1521,0.254,"DMSO",0
150,"20200122 P1",0.1521,0.254,"PTx",0
150,"20200122 P1",0.1521,0.254,"YM",0
150,"20200122 P1",0.1521,0.254,"ymptx",0
151,"20200526 P1",0.5554,0.4237,"DMSO",0.19
152,"20200122 P1",0.0377999999999995,0.1766,"DMSO",0
152,"20200122 P1",0.0377999999999995,0.1766,"PTx",0
152,"20200122 P1",0.0377999999999995,0.1766,"YM",0
152,"20200122 P1",0.0377999999999995,0.1766,"ymptx",0
152,"20200526 P1",-0.311,0.0670999999999999,"DMSO",0.19
153,"20200526 P1",-0.0374000000000005,-0.00979999999999959,"DMSO",0.19
155,"20200526 P1",0.3486,0.6624,"DMSO",0.19
156,"20200122 P1",0.0877999999999999,-0.1341,"DMSO",0
156,"20200122 P1",0.0877999999999999,-0.1341,"PTx",0
156,"20200122 P1",0.0877999999999999,-0.1341,"YM",0
156,"20200122 P1",0.0877999999999999,-0.1341,"ymptx",0
156,"20200526 P1",0.1943,0.0964000000000001,"DMSO",0.19
157,"20200122 P1",-0.2903,-0.385800000000001,"DMSO",0
157,"20200122 P1",-0.2903,-0.385800000000001,"PTx",0
157,"20200122 P1",-0.2903,-0.385800000000001,"YM",0
157,"20200122 P1",-0.2903,-0.385800000000001,"ymptx",0
160,"20200122 P1",-0.4173,0.00530000000000008,"DMSO",0
160,"20200122 P1",-0.4173,0.00530000000000008,"PTx",0
160,"20200122 P1",-0.4173,0.00530000000000008,"YM",0
160,"20200122 P1",-0.4173,0.00530000000000008,"ymptx",0
161,"20200122 P1",-0.000599999999999795,0.1699,"DMSO",0
161,"20200122 P1",-0.000599999999999795,0.1699,"PTx",0
161,"20200122 P1",-0.000599999999999795,0.1699,"YM",0
161,"20200122 P1",-0.000599999999999795,0.1699,"ymptx",0
161,"20200526 P1",1.0173,0.5811,"DMSO",0.19
163,"20200122 P1",0.1773,-0.00340000000000062,"DMSO",0
163,"20200122 P1",0.1773,-0.00340000000000062,"PTx",0
163,"20200122 P1",0.1773,-0.00340000000000062,"YM",0
163,"20200122 P1",0.1773,-0.00340000000000062,"ymptx",0
165,"20200122 P1",0.0747000000000002,0.00729999999999975,"DMSO",0
165,"20200122 P1",0.0747000000000002,0.00729999999999975,"PTx",0
165,"20200122 P1",0.0747000000000002,0.00729999999999975,"YM",0
165,"20200122 P1",0.0747000000000002,0.00729999999999975,"ymptx",0
167,"20200122 P1",-0.0200999999999998,-0.0899999999999999,"DMSO",0
167,"20200122 P1",-0.0200999999999998,-0.0899999999999999,"PTx",0
167,"20200122 P1",-0.0200999999999998,-0.0899999999999999,"YM",0
167,"20200122 P1",-0.0200999999999998,-0.0899999999999999,"ymptx",0
168,"20200122 P1",0.0236999999999997,-0.4027,"DMSO",0
168,"20200122 P1",0.0236999999999997,-0.4027,"PTx",0
168,"20200122 P1",0.0236999999999997,-0.4027,"YM",0
168,"20200122 P1",0.0236999999999997,-0.4027,"ymptx",0
170,"20200526 P1",0.2122,0.2853,"DMSO",0.19
171,"20200122 P1",-0.0578999999999997,0.0432999999999997,"DMSO",0
171,"20200122 P1",-0.0578999999999997,0.0432999999999997,"PTx",0
171,"20200122 P1",-0.0578999999999997,0.0432999999999997,"YM",0
171,"20200122 P1",-0.0578999999999997,0.0432999999999997,"ymptx",0
175,"20200526 P1",-0.2978,-0.2117,"DMSO",0.19
179,"20200122 P1",0.0552999999999998,0.433300000000001,"DMSO",0
179,"20200122 P1",0.0552999999999998,0.433300000000001,"PTx",0
179,"20200122 P1",0.0552999999999998,0.433300000000001,"YM",0
179,"20200122 P1",0.0552999999999998,0.433300000000001,"ymptx",0
180,"20200122 P1",-0.00110000000000002,-0.1142,"DMSO",0
180,"20200122 P1",-0.00110000000000002,-0.1142,"PTx",0
180,"20200122 P1",-0.00110000000000002,-0.1142,"YM",0
180,"20200122 P1",-0.00110000000000002,-0.1142,"ymptx",0
181,"20200122 P1",-0.1128,0.333,"DMSO",0
181,"20200122 P1",-0.1128,0.333,"PTx",0
181,"20200122 P1",-0.1128,0.333,"YM",0
181,"20200122 P1",-0.1128,0.333,"ymptx",0
185,"20200526 P1",-0.2558,0.0228000000000003,"DMSO",0.19
188,"20200122 P1",0.363,-0.356499999999999,"DMSO",0
188,"20200122 P1",0.363,-0.356499999999999,"PTx",0
188,"20200122 P1",0.363,-0.356499999999999,"YM",0
188,"20200122 P1",0.363,-0.356499999999999,"ymptx",0
188,"20200526 P1",0.196,0.2596,"DMSO",0.19
192,"20200122 P1",-0.16,0.0550999999999995,"DMSO",0
192,"20200122 P1",-0.16,0.0550999999999995,"PTx",0
192,"20200122 P1",-0.16,0.0550999999999995,"YM",0
192,"20200122 P1",-0.16,0.0550999999999995,"ymptx",0
193,"20200122 P1",0.3492,0.0898999999999999,"DMSO",0
193,"20200122 P1",0.3492,0.0898999999999999,"PTx",0
193,"20200122 P1",0.3492,0.0898999999999999,"YM",0
193,"20200122 P1",0.3492,0.0898999999999999,"ymptx",0
194,"20200122 P1",-0.0692999999999999,0.4347,"DMSO",0
194,"20200122 P1",-0.0692999999999999,0.4347,"PTx",0
194,"20200122 P1",-0.0692999999999999,0.4347,"YM",0
194,"20200122 P1",-0.0692999999999999,0.4347,"ymptx",0
197,"20200122 P1",-0.2646,-0.0253000000000005,"DMSO",0
197,"20200122 P1",-0.2646,-0.0253000000000005,"PTx",0
197,"20200122 P1",-0.2646,-0.0253000000000005,"YM",0
197,"20200122 P1",-0.2646,-0.0253000000000005,"ymptx",0
198,"20200122 P1",-0.132,0.4039,"DMSO",0
198,"20200122 P1",-0.132,0.4039,"PTx",0
198,"20200122 P1",-0.132,0.4039,"YM",0
198,"20200122 P1",-0.132,0.4039,"ymptx",0
198,"20200526 P1",-0.00230000000000008,-0.131799999999999,"DMSO",0.19
203,"20200122 P1",0.0275999999999995,-0.437500000000001,"DMSO",0
203,"20200122 P1",0.0275999999999995,-0.437500000000001,"PTx",0
203,"20200122 P1",0.0275999999999995,-0.437500000000001,"YM",0
203,"20200122 P1",0.0275999999999995,-0.437500000000001,"ymptx",0
205,"20200526 P1",-0.158,-0.2218,"DMSO",0.19
206,"20200122 P1",0.00930000000000003,-0.2475,"DMSO",0
206,"20200122 P1",0.00930000000000003,-0.2475,"PTx",0
206,"20200122 P1",0.00930000000000003,-0.2475,"YM",0
206,"20200122 P1",0.00930000000000003,-0.2475,"ymptx",0
208,"20200526 P1",0.0355,-0.00330000000000008,"DMSO",0.19
212,"20200122 P1",0.4798,0.7758,"DMSO",0
212,"20200122 P1",0.4798,0.7758,"PTx",0
212,"20200122 P1",0.4798,0.7758,"YM",0
212,"20200122 P1",0.4798,0.7758,"ymptx",0
213,"20200122 P1",0.1638,0.1672,"DMSO",0
213,"20200122 P1",0.1638,0.1672,"PTx",0
213,"20200122 P1",0.1638,0.1672,"YM",0
213,"20200122 P1",0.1638,0.1672,"ymptx",0
213,"20200526 P1",1.6383,0.9709,"DMSO",0.19
214,"20200526 P1",0.1797,-0.4795,"DMSO",0.19
215,"20200122 P1",-0.0485999999999999,0.1968,"DMSO",0
215,"20200122 P1",-0.0485999999999999,0.1968,"PTx",0
215,"20200122 P1",-0.0485999999999999,0.1968,"YM",0
215,"20200122 P1",-0.0485999999999999,0.1968,"ymptx",0
216,"20200526 P1",0.0812999999999995,-0.254,"DMSO",0.19
217,"20200122 P1",-0.1793,0.0828,"DMSO",0
217,"20200122 P1",-0.1793,0.0828,"PTx",0
217,"20200122 P1",-0.1793,0.0828,"YM",0
217,"20200122 P1",-0.1793,0.0828,"ymptx",0
218,"20200122 P1",0.1313,0.0258000000000002,"DMSO",0
218,"20200122 P1",0.1313,0.0258000000000002,"PTx",0
218,"20200122 P1",0.1313,0.0258000000000002,"YM",0
218,"20200122 P1",0.1313,0.0258000000000002,"ymptx",0
220,"20200122 P1",0.0532,0.3917,"DMSO",0
220,"20200122 P1",0.0532,0.3917,"PTx",0
220,"20200122 P1",0.0532,0.3917,"YM",0
220,"20200122 P1",0.0532,0.3917,"ymptx",0
220,"20200526 P1",0.552899999999999,0.1867,"DMSO",0.19
221,"20200526 P1",0.472800000000001,0.0245000000000003,"DMSO",0.19
223,"20200526 P1",-0.0388000000000002,0.2795,"DMSO",0.19
226,"20200122 P1",-0.1189,0.0194999999999997,"DMSO",0
226,"20200122 P1",-0.1189,0.0194999999999997,"PTx",0
226,"20200122 P1",-0.1189,0.0194999999999997,"YM",0
226,"20200122 P1",-0.1189,0.0194999999999997,"ymptx",0
227,"20200122 P1",0.499499999999999,0.8903,"DMSO",0
227,"20200122 P1",0.499499999999999,0.8903,"PTx",0
227,"20200122 P1",0.499499999999999,0.8903,"YM",0
227,"20200122 P1",0.499499999999999,0.8903,"ymptx",0
228,"20200122 P1",0.0803,0.0460000000000002,"DMSO",0
228,"20200122 P1",0.0803,0.0460000000000002,"PTx",0
228,"20200122 P1",0.0803,0.0460000000000002,"YM",0
228,"20200122 P1",0.0803,0.0460000000000002,"ymptx",0
228,"20200526 P1",0.2953,0.2532,"DMSO",0.19
229,"20200526 P1",2.5033,1.5496,"DMSO",0.19
232,"20200122 P1",-0.0767999999999998,0.0314999999999999,"DMSO",0
232,"20200122 P1",-0.0767999999999998,0.0314999999999999,"PTx",0
232,"20200122 P1",-0.0767999999999998,0.0314999999999999,"YM",0
232,"20200122 P1",-0.0767999999999998,0.0314999999999999,"ymptx",0
233,"20200526 P1",-0.0262000000000004,0.1502,"DMSO",0.19
234,"20200122 P1",-0.0900000000000001,0.2129,"DMSO",0
234,"20200122 P1",-0.0900000000000001,0.2129,"PTx",0
234,"20200122 P1",-0.0900000000000001,0.2129,"YM",0
234,"20200122 P1",-0.0900000000000001,0.2129,"ymptx",0
234,"20200526 P1",0.1536,0.4161,"DMSO",0.19
240,"20200122 P1",-0.0732000000000001,0.1843,"DMSO",0
240,"20200122 P1",-0.0732000000000001,0.1843,"PTx",0
240,"20200122 P1",-0.0732000000000001,0.1843,"YM",0
240,"20200122 P1",-0.0732000000000001,0.1843,"ymptx",0
241,"20200526 P1",0.0760000000000005,-0.000900000000000012,"DMSO",0.19
242,"20200526 P1",0.4375,0.216,"DMSO",0.19
243,"20200526 P1",0.0900000000000004,0.1505,"DMSO",0.19
244,"20200122 P1",-0.3307,-0.338800000000001,"DMSO",0
244,"20200122 P1",-0.3307,-0.338800000000001,"PTx",0
244,"20200122 P1",-0.3307,-0.338800000000001,"YM",0
244,"20200122 P1",-0.3307,-0.338800000000001,"ymptx",0
244,"20200526 P1",0.0963000000000009,0.2917,"DMSO",0.19
245,"20200122 P1",-0.1559,0.0851000000000001,"DMSO",0
245,"20200122 P1",-0.1559,0.0851000000000001,"PTx",0
245,"20200122 P1",-0.1559,0.0851000000000001,"YM",0
245,"20200122 P1",-0.1559,0.0851000000000001,"ymptx",0
245,"20200526 P1",0.3019,0.6151,"DMSO",0.19
247,"20200526 P1",-0.209699999999999,-0.3498,"DMSO",0.19
248,"20200526 P1",0.0353000000000004,-0.00450000000000028,"DMSO",0.19
249,"20200122 P1",-0.2986,-0.0412000000000003,"DMSO",0
249,"20200122 P1",-0.2986,-0.0412000000000003,"PTx",0
249,"20200122 P1",-0.2986,-0.0412000000000003,"YM",0
249,"20200122 P1",-0.2986,-0.0412000000000003,"ymptx",0
250,"20200526 P1",-0.541799999999999,-0.367000000000001,"DMSO",0.19
251,"20200526 P1",-0.401400000000001,0.2223,"DMSO",0.19
252,"20200526 P1",-0.144,0.5105,"DMSO",0.19
253,"20200526 P1",0.3095,-0.503000000000001,"DMSO",0.19
254,"20200122 P1",0.0523000000000003,0.2001,"DMSO",0
254,"20200122 P1",0.0523000000000003,0.2001,"PTx",0
254,"20200122 P1",0.0523000000000003,0.2001,"YM",0
254,"20200122 P1",0.0523000000000003,0.2001,"ymptx",0
255,"20200526 P1",0.5713,-0.28,"DMSO",0.19
256,"20200122 P1",-0.2185,0.1953,"DMSO",0
256,"20200122 P1",-0.2185,0.1953,"PTx",0
256,"20200122 P1",-0.2185,0.1953,"YM",0
256,"20200122 P1",-0.2185,0.1953,"ymptx",0
256,"20200526 P1",0.1574,-0.136,"DMSO",0.19
257,"20200526 P1",-0.0471000000000001,-0.2104,"DMSO",0.19
258,"20200122 P1",-0.2277,-0.5933,"DMSO",0
258,"20200122 P1",-0.2277,-0.5933,"PTx",0
258,"20200122 P1",-0.2277,-0.5933,"YM",0
258,"20200122 P1",-0.2277,-0.5933,"ymptx",0
259,"20200526 P1",0.0692000000000009,0.2796,"DMSO",0.19
260,"20200122 P1",0.2172,0.5657,"DMSO",0
260,"20200122 P1",0.2172,0.5657,"PTx",0
260,"20200122 P1",0.2172,0.5657,"YM",0
260,"20200122 P1",0.2172,0.5657,"ymptx",0
260,"20200526 P1",0.280099999999999,0.0250999999999996,"DMSO",0.19
263,"20200122 P1",0.3862,0.2941,"DMSO",0
263,"20200122 P1",0.3862,0.2941,"PTx",0
263,"20200122 P1",0.3862,0.2941,"YM",0
